"filename","width","height","bytes","sha256","browser","build_id","asset_revision","capture_utc"
"00_home.png","1280","720","46018","41CF8B1A996C19E2DD189131DDC7CD1513532D1F19A2E5A2D24262E36DB45800","Codex In-app Browser","LANTERNLINE_R7_SRPG_MAP_R4B_WEB","R4","2026-08-18T06:34:25.0063180Z"
"00_title.png","1280","720","30048","FC1C2CD1326AE1D87D08FF86635A7DD4347267728F8AEF47FB588C430DAE80A4","Codex In-app Browser","LANTERNLINE_R7_SRPG_MAP_R4B_WEB","R4","2026-08-18T06:34:25.0063180Z"
"01_ch01_map_full.png","1280","720","59095","A106C8E192626000D9A502C5111F1A47980FF8275B73A835AB85CD0DAA9C3D9E","Codex In-app Browser","LANTERNLINE_R7_SRPG_MAP_R4B_WEB","R4","2026-08-18T06:34:25.0073207Z"
"04_route_preview.png","1280","720","62374","B5353714CE1B72F3AA61911BDC030ECB6B350878332E92CE7DAA3D6A1A54FB79","Codex In-app Browser","LANTERNLINE_R7_SRPG_MAP_R4B_WEB","R4","2026-08-18T06:34:25.0073207Z"
"08_existing_battle.png","1280","720","144089","480E4D9882E753F11FEC0CA2C2F06C5FC0E59232B6DD0CB880C1F42C3614A514","Codex In-app Browser","LANTERNLINE_R7_SRPG_MAP_R4B_WEB","R4","2026-08-18T06:34:25.0083190Z"
"09_result.png","1280","720","46654","A149CF7306C63BB8BD62FE5EBD24189C57658848E9E4BABBE850885EA9F12EB3","Codex In-app Browser","LANTERNLINE_R7_SRPG_MAP_R4B_WEB","R4","2026-08-18T06:34:25.0093189Z"
"10_return_to_map.png","1280","720","60651","390C18098EFB2ADDE8D2A2D7B38248292974FEBCEEF861A1370584AA9FD4CBA0","Codex In-app Browser","LANTERNLINE_R7_SRPG_MAP_R4B_WEB","R4","2026-08-18T06:34:25.0093189Z"
"11_next_route_revealed.png","1280","720","60651","390C18098EFB2ADDE8D2A2D7B38248292974FEBCEEF861A1370584AA9FD4CBA0","Codex In-app Browser","LANTERNLINE_R7_SRPG_MAP_R4B_WEB","R4","2026-08-18T06:34:25.0103189Z"
"15_mobile_844x390.png","844","390","24085","5C078761FEDF64E83F6EE59DB1CC482E59418E1D72282B131A593DD2445F2F3E","Codex In-app Browser","LANTERNLINE_R7_SRPG_MAP_R4B_WEB","R4","2026-08-18T06:35:01.2131536Z"
"16_reload_restore.png","1280","720","60651","390C18098EFB2ADDE8D2A2D7B38248292974FEBCEEF861A1370584AA9FD4CBA0","Codex In-app Browser","LANTERNLINE_R7_SRPG_MAP_R4B_WEB","R4","2026-08-18T06:35:26.5124948Z"
